
# No. epochs 10000 
# Run	Heap memory	 Time (CPU seconds)
1	    2162688	0.000000
2	    2162688	0.000000
3	    2162688	0.000000
4	    2162688	0.000000
5	    2162688	0.000000

# No. epochs 20000 
# Run	Heap memory	 Time (CPU seconds)
1	    4317184	0.010000
2	    4317184	0.010000
3	    4317184	0.010000
4	    4317184	0.020000
5	    4317184	0.010000

# No. epochs 30000 
# Run	Heap memory	 Time (CPU seconds)
1	    6471680	0.030000
2	    6471680	0.040000
3	    6471680	0.040000
4	    6471680	0.030000
5	    6471680	0.030000

# No. epochs 40000 
# Run	Heap memory	 Time (CPU seconds)
1	    8626176	0.060000
2	    8626176	0.080000
3	    8626176	0.070000
4	    8626176	0.060000
5	    8626176	0.060000

# No. epochs 50000 
# Run	Heap memory	 Time (CPU seconds)
1	   10780672	0.100000
2	   10780672	0.090000
3	   10780672	0.100000
4	   10780672	0.100000
5	   10780672	0.110000
