
# No. epochs 100000 
# Run	Heap memory	 Time (CPU seconds)
1	    4022272	0.010000
2	    4022272	0.000000
3	    4022272	0.010000
4	    4022272	0.010000
5	    4022272	0.020000

# No. epochs 200000 
# Run	Heap memory	 Time (CPU seconds)
1	    8036352	0.030000
2	    8036352	0.030000
3	    8036352	0.030000
4	    8036352	0.040000
5	    8036352	0.030000

# No. epochs 300000 
# Run	Heap memory	 Time (CPU seconds)
1	   12050432	0.070000
2	   12050432	0.070000
3	   12050432	0.070000
4	   12050432	0.070000
5	   12050432	0.070000

# No. epochs 400000 
# Run	Heap memory	 Time (CPU seconds)
1	   16064512	0.140000
2	   16064512	0.130000
3	   16064512	0.130000
4	   16064512	0.120000
5	   16064512	0.130000

# No. epochs 500000 
# Run	Heap memory	 Time (CPU seconds)
1	   20078592	0.230000
2	   20078592	0.210000
3	   20078592	0.200000
4	   20078592	0.200000
5	   20078592	0.200000
