
# No. epochs 10000 
# Run	Heap memory	 Time (CPU seconds)
1	     409600	0.000000
2	     409600	0.000000
3	     409600	0.000000
4	     409600	0.000000
5	     409600	0.000000

# No. epochs 20000 
# Run	Heap memory	 Time (CPU seconds)
1	     811008	0.000000
2	     811008	0.000000
3	     811008	0.000000
4	     811008	0.000000
5	     811008	0.000000

# No. epochs 30000 
# Run	Heap memory	 Time (CPU seconds)
1	    1212416	0.000000
2	    1212416	0.000000
3	    1212416	0.000000
4	    1212416	0.000000
5	    1212416	0.000000

# No. epochs 40000 
# Run	Heap memory	 Time (CPU seconds)
1	    1613824	0.000000
2	    1613824	0.000000
3	    1613824	0.000000
4	    1613824	0.000000
5	    1613824	0.000000

# No. epochs 50000 
# Run	Heap memory	 Time (CPU seconds)
1	    2015232	0.000000
2	    2015232	0.000000
3	    2015232	0.010000
4	    2015232	0.000000
5	    2015232	0.000000
