
# No. epochs 10000 
# Run	Heap memory	 Time (CPU seconds)
1	    2138113	0.010000
2	    2138113	0.010000
3	    2138113	0.020000
4	    2138113	0.010000
5	    2138113	0.020000

# No. epochs 20000 
# Run	Heap memory	 Time (CPU seconds)
1	    4276225	0.060000
2	    4276225	0.060000
3	    4276225	0.060000
4	    4276225	0.050000
5	    4276225	0.060000

# No. epochs 30000 
# Run	Heap memory	 Time (CPU seconds)
1	    6414337	0.140000
2	    6414337	0.130000
3	    6414337	0.150000
4	    6414337	0.130000
5	    6414337	0.130000

# No. epochs 40000 
# Run	Heap memory	 Time (CPU seconds)
1	    8552449	0.280000
2	    8552449	0.250000
3	    8552449	0.230000
4	    8552449	0.250000
5	    8552449	0.260000

# No. epochs 50000 
# Run	Heap memory	 Time (CPU seconds)
1	   10690561	0.440000
2	   10690561	0.560000
3	   10690561	0.500000
4	   10690561	0.540000
5	   10690561	0.530000
