
# No. epochs 10000 
# Run	Heap memory	 Time (CPU seconds)
1	     245760	0.000000
2	     245760	0.000000
3	     245760	0.000000
4	     245760	0.000000
5	     245760	0.000000

# No. epochs 20000 
# Run	Heap memory	 Time (CPU seconds)
1	     483328	0.010000
2	     483328	0.000000
3	     483328	0.010000
4	     483328	0.010000
5	     483328	0.010000

# No. epochs 30000 
# Run	Heap memory	 Time (CPU seconds)
1	     720896	0.020000
2	     720896	0.010000
3	     720896	0.020000
4	     720896	0.010000
5	     720896	0.020000

# No. epochs 40000 
# Run	Heap memory	 Time (CPU seconds)
1	     966656	0.040000
2	     966656	0.040000
3	     966656	0.030000
4	     966656	0.030000
5	     966656	0.030000

# No. epochs 50000 
# Run	Heap memory	 Time (CPU seconds)
1	    1204224	0.060000
2	    1204224	0.060000
3	    1204224	0.060000
4	    1204224	0.060000
5	    1204224	0.070000
