
# No. epochs 10000 
# Run	Heap memory	 Time (CPU seconds)
1	     405504	0.000000
2	     405504	0.000000
3	     405504	0.000000
4	     405504	0.000000
5	     405504	0.000000

# No. epochs 20000 
# Run	Heap memory	 Time (CPU seconds)
1	     811008	0.000000
2	     811008	0.000000
3	     811008	0.000000
4	     811008	0.000000
5	     811008	0.000000

# No. epochs 30000 
# Run	Heap memory	 Time (CPU seconds)
1	    1216512	0.000000
2	    1216512	0.000000
3	    1216512	0.000000
4	    1216512	0.000000
5	    1216512	0.000000

# No. epochs 40000 
# Run	Heap memory	 Time (CPU seconds)
1	    1622016	0.000000
2	    1622016	0.000000
3	    1622016	0.000000
4	    1622016	0.010000
5	    1622016	0.000000

# No. epochs 50000 
# Run	Heap memory	 Time (CPU seconds)
1	    2027520	0.000000
2	    2027520	0.000000
3	    2027520	0.000000
4	    2027520	0.010000
5	    2027520	0.010000
